sample_id,feature,block,n_finite,mean,median,standard_deviation,q25,q75,iqr,minimum,maximum,mean_minus_median,absolute_mean_minus_median
0,OES_bin_32,OES_bin,100,0.48646053977392156,0.1724477085466384,0.5903097979801709,0.0,0.8542984984595174,0.8542984984595174,0.0,1.9958062039129507,0.3140128312272832,0.3140128312272832
0,OES_bin_33,OES_bin,100,0.34435845269844423,0.0,0.6372242800700231,0.0,0.4168444812466763,0.4168444812466763,0.0,3.383702422903896,0.34435845269844423,0.34435845269844423
0,OES_bin_34,OES_bin,100,0.3200678044117173,0.0,0.5610217529820948,0.0,0.41565419787220476,0.41565419787220476,0.0,2.4368097279624967,0.3200678044117173,0.3200678044117173
0,OES_bin_35,OES_bin,100,0.4730998041756341,0.0866598495070236,0.6554581937907078,0.0,0.906619071177301,0.906619071177301,0.0,3.424078321001947,0.3864399546686105,0.3864399546686105
0,OES_bin_36,OES_bin,100,0.4377770573268456,0.029964068432752747,0.6215026579130096,0.0,0.7384325790232461,0.7384325790232461,0.0,2.2639264097079232,0.40781298889409284,0.40781298889409284
0,OES_bin_37,OES_bin,100,0.5326432188000527,0.1172175034363542,0.6669251365845498,0.0,1.0108333100029279,1.0108333100029279,0.0,2.4579572185332634,0.41542571536369854,0.41542571536369854
0,OES_bin_38,OES_bin,100,0.3717864162175555,0.0,0.5979350999999548,0.0,0.6064973647186479,0.6064973647186479,0.0,2.5836038295876955,0.3717864162175555,0.3717864162175555
0,OES_bin_39,OES_bin,100,0.43015161116124034,0.043314148043141196,0.5972059762410197,0.0,0.7134823312681497,0.7134823312681497,0.0,2.266239685590312,0.38683746311809913,0.38683746311809913
0,OES_bin_40,OES_bin,100,0.4355619376698233,0.191050928860071,0.612960839065241,0.0,0.7088365816886795,0.7088365816886795,0.0,2.6555720988299054,0.24451100880975232,0.24451100880975232
0,OES_bin_41,OES_bin,100,0.37339626301540696,0.0569721616957896,0.5005814013338103,0.0,0.6547693444817608,0.6547693444817608,0.0,1.8177418531563545,0.31642410131961735,0.31642410131961735
0,OES_bin_42,OES_bin,100,0.46345090581440684,0.13429842759831695,0.6400269478841085,0.0,0.7210817609544711,0.7210817609544711,0.0,2.395732803543476,0.3291524782160899,0.3291524782160899
0,OES_bin_43,OES_bin,100,0.3591817161169824,0.0518137492903232,0.47678271071768386,0.0,0.5908697512205876,0.5908697512205876,0.0,1.859983008751432,0.30736796682665923,0.30736796682665923
0,OES_bin_44,OES_bin,100,0.43674062851802664,0.0,0.6517084165331285,0.0,0.6993462172654172,0.6993462172654172,0.0,2.6470083610295267,0.43674062851802664,0.43674062851802664
0,OES_bin_45,OES_bin,100,0.347911827915195,0.01964867191872405,0.4987957716591428,0.0,0.6404858560188875,0.6404858560188875,0.0,2.482202091522923,0.32826315599647093,0.32826315599647093
0,OES_bin_46,OES_bin,100,0.27132956554766263,0.0,0.45244575669498355,0.0,0.41461705086327455,0.41461705086327455,0.0,2.127748123217914,0.27132956554766263,0.27132956554766263
0,OES_bin_47,OES_bin,100,0.3475951989137356,0.0,0.5858183410844737,0.0,0.5222061680982206,0.5222061680982206,0.0,2.423847418785976,0.3475951989137356,0.3475951989137356
0,OES_bin_48,OES_bin,100,0.813334224825129,0.6288679535172894,0.8532860255311113,0.0,1.412223371515884,1.412223371515884,0.0,3.4152867760984247,0.18446627130783955,0.18446627130783955
