scheme,outer_fold,model,candidate,inner_fold_id,inner_mae
loo,1,ridge,1.0,1,3.0062337282421496
loo,1,ridge,1.0,2,2.6239434524392693
loo,1,ridge,10.0,0,3.0094507182580617
loo,1,ridge,10.0,1,2.990499351799762
loo,1,ridge,10.0,2,2.547380047817103
loo,1,ridge,100.0,0,2.9023963429450292
loo,1,ridge,100.0,1,2.9135099861031644
loo,1,ridge,100.0,2,2.1166056987868793
loo,1,ridge,1000.0,0,2.1877744218371333
loo,1,ridge,1000.0,1,2.890196519988878
loo,1,ridge,1000.0,2,1.470261671084108
loo,1,ridge,10000.0,0,2.06787317205553
loo,1,ridge,10000.0,1,2.6658148690864167
loo,1,ridge,10000.0,2,1.5175259879719512
loo,1,pcr,1.0,0,2.5750716825493645
loo,1,pcr,1.0,1,2.9455280773039534
loo,1,pcr,1.0,2,2.5404304494628405
loo,1,pcr,2.0,0,1.8707195802287642
loo,1,pcr,2.0,1,3.303697685826515
loo,1,pcr,2.0,2,1.712958612482364
loo,1,pcr,3.0,0,2.1413008594690845
loo,1,pcr,3.0,1,3.4679871180820316
loo,1,pcr,3.0,2,1.8082101741014125
loo,1,pcr,5.0,0,3.073631033571751
loo,1,pcr,5.0,1,3.039446699047764
loo,1,pcr,5.0,2,1.4506451144993922
loo,2,ridge,0.1,0,2.7101829116762883
loo,2,ridge,0.1,1,2.3851062130767886
loo,2,ridge,0.1,2,1.8243888653558933
loo,2,ridge,1.0,0,2.704303612295482
loo,2,ridge,1.0,1,2.3870678950694377
loo,2,ridge,1.0,2,1.8252488452821432
loo,2,ridge,10.0,0,2.6473772015244004
loo,2,ridge,10.0,1,2.4049411866893675
loo,2,ridge,10.0,2,1.8332414973333233
loo,2,ridge,100.0,0,2.2424149209427005
loo,2,ridge,100.0,1,2.5099516934110486
loo,2,ridge,100.0,2,1.8766078003845585
loo,2,ridge,1000.0,0,1.797165831943859
loo,2,ridge,1000.0,1,2.767788635122736
loo,2,ridge,1000.0,2,1.868178610223583
loo,2,ridge,10000.0,0,1.4081088275512461
loo,2,ridge,10000.0,1,3.0605511652776065
loo,2,ridge,10000.0,2,1.8989240462446049
loo,2,pcr,1.0,0,1.5350819748384876
loo,2,pcr,1.0,1,3.3735966911799964
loo,2,pcr,1.0,2,2.4018084508698565
loo,2,pcr,2.0,0,2.2461759797584824
loo,2,pcr,2.0,1,2.742833109799087
loo,2,pcr,2.0,2,1.7210333529884245
loo,2,pcr,3.0,0,2.24061900057776
loo,2,pcr,3.0,1,2.906289962708535
loo,2,pcr,3.0,2,2.0176184586767785
loo,2,pcr,5.0,0,2.110811459915136
loo,2,pcr,5.0,1,2.675538371865132
loo,2,pcr,5.0,2,1.9964848710452276
loo,3,ridge,0.1,0,2.525037348412932
loo,3,ridge,0.1,1,1.4402808807983387
loo,3,ridge,0.1,2,3.7392464806371404
loo,3,ridge,1.0,0,2.5246937580048545
loo,3,ridge,1.0,1,1.4383418201905804
loo,3,ridge,1.0,2,3.7164263139366227
loo,3,ridge,10.0,0,2.5212829770698475
loo,3,ridge,10.0,1,1.4207417424865767
loo,3,ridge,10.0,2,3.5044767835896216
loo,3,ridge,100.0,0,2.4935950394484974
loo,3,ridge,100.0,1,1.331813291645054
loo,3,ridge,100.0,2,2.3182343065094546
loo,3,ridge,1000.0,0,2.3806033841252137
loo,3,ridge,1000.0,1,1.71395623073957
loo,3,ridge,1000.0,2,1.2582493021781656
loo,3,ridge,10000.0,0,2.6072811590433256
loo,3,ridge,10000.0,1,2.4100117375581256
loo,3,ridge,10000.0,2,1.3907280078580222
loo,3,pcr,1.0,0,2.6608833051118945
loo,3,pcr,1.0,1,3.07538230854632
loo,3,pcr,1.0,2,2.557234188309319
loo,3,pcr,2.0,0,2.8354107031506506
loo,3,pcr,2.0,1,1.942731012633016
loo,3,pcr,2.0,2,1.7721303512250284
loo,3,pcr,3.0,0,2.6223541703120015
loo,3,pcr,3.0,1,1.864381147521896
loo,3,pcr,3.0,2,2.105088674577587
loo,3,pcr,5.0,0,2.5193263115494533
loo,3,pcr,5.0,1,1.454872971784079
loo,3,pcr,5.0,2,1.4277912929397807
loo,4,ridge,0.1,0,2.8604078604951924
loo,4,ridge,0.1,1,3.186521861485168
loo,4,ridge,0.1,2,3.8455470617467675
loo,4,ridge,1.0,0,2.856928206326234
loo,4,ridge,1.0,1,3.188921717562629
loo,4,ridge,1.0,2,3.8420719613085645
loo,4,ridge,10.0,0,2.8239332635929384
loo,4,ridge,10.0,1,3.2110437159481484
loo,4,ridge,10.0,2,3.80948869417328
loo,4,ridge,100.0,0,2.6094269454412986
loo,4,ridge,100.0,1,3.337576668192076
loo,4,ridge,100.0,2,3.591762136722125
loo,4,ridge,1000.0,0,2.2849286441498617
loo,4,ridge,1000.0,1,3.6383777788952147
loo,4,ridge,1000.0,2,2.7295939510670144
loo,4,ridge,10000.0,0,2.7661529929266573
loo,4,ridge,10000.0,1,4.128348976576637
loo,4,ridge,10000.0,2,1.3481649927913548
loo,4,pcr,1.0,0,3.3821414990192324
loo,4,pcr,1.0,1,4.429335325828432
loo,4,pcr,1.0,2,0.9075077096625469
loo,4,pcr,2.0,0,2.020945931005239
loo,4,pcr,2.0,1,3.716148018912907
loo,4,pcr,2.0,2,1.965593515815602
loo,4,pcr,3.0,0,2.0334529981456093
loo,4,pcr,3.0,1,3.7396444639259667
loo,4,pcr,3.0,2,2.1643446299228213
loo,4,pcr,5.0,0,2.429640495755461
loo,4,pcr,5.0,1,3.4729337237547404
loo,4,pcr,5.0,2,3.701353465037649
loo,5,ridge,0.1,0,2.4595884909411585
loo,5,ridge,0.1,1,2.134195543705189
loo,5,ridge,0.1,2,2.877025456560657
loo,5,ridge,1.0,0,2.4588484598889475
loo,5,ridge,1.0,1,2.130647811976765
loo,5,ridge,1.0,2,2.8777278128557846
loo,5,ridge,10.0,0,2.451701781051406
loo,5,ridge,10.0,1,2.0985556511125982
loo,5,ridge,10.0,2,2.884200590233372
loo,5,ridge,100.0,0,2.4048040947950944
loo,5,ridge,100.0,1,1.9226543431788248
loo,5,ridge,100.0,2,2.9157554691633165
loo,5,ridge,1000.0,0,2.394375277732711
loo,5,ridge,1000.0,1,1.4338182607699963
loo,5,ridge,1000.0,2,2.9749690092889765
loo,5,ridge,10000.0,0,2.8662148841958617
loo,5,ridge,10000.0,1,1.022974724612246
loo,5,ridge,10000.0,2,3.607280920548815
loo,5,pcr,1.0,0,3.3130156347550654
loo,5,pcr,1.0,1,1.3213667081480143
loo,5,pcr,1.0,2,4.164054484517405
loo,5,pcr,2.0,0,2.117413821605697
loo,5,pcr,2.0,1,1.2222500444078228
loo,5,pcr,2.0,2,3.202576515957444
loo,5,pcr,3.0,0,2.2851832055837518
loo,5,pcr,3.0,1,1.1646003850465707
loo,5,pcr,3.0,2,3.218040662856188
loo,5,pcr,5.0,0,2.313003848950651
loo,5,pcr,5.0,1,2.0917036438312286
loo,5,pcr,5.0,2,2.7054663262241436
loo,6,ridge,0.1,0,2.310590405107746
loo,6,ridge,0.1,1,2.1266278103272658
loo,6,ridge,0.1,2,3.524879263626366
loo,6,ridge,1.0,0,2.309909062836987
loo,6,ridge,1.0,1,2.1229862966758835
loo,6,ridge,1.0,2,3.5206570680114653
loo,6,ridge,10.0,0,2.3036626139417575
loo,6,ridge,10.0,1,2.089851850555991
loo,6,ridge,10.0,2,3.4818426942061755
loo,6,ridge,100.0,0,2.273131295408085
loo,6,ridge,100.0,1,1.9691486815090873
loo,6,ridge,100.0,2,3.258693320486829
loo,6,ridge,1000.0,0,2.67968735647113
loo,6,ridge,1000.0,1,1.6852268367312142
loo,6,ridge,1000.0,2,2.69203019132782
loo,6,ridge,10000.0,0,3.277612256312046
loo,6,ridge,10000.0,1,2.0967257402728747
loo,6,ridge,10000.0,2,1.6919821044577823
loo,6,pcr,1.0,0,3.5410018326045107
loo,6,pcr,1.0,1,2.9160323005667457
loo,6,pcr,1.0,2,1.596830266619272
loo,6,pcr,2.0,0,3.2738913334174784
loo,6,pcr,2.0,1,1.7619260274253943
loo,6,pcr,2.0,2,2.5288880691025413
loo,6,pcr,3.0,0,3.2488995532061957
loo,6,pcr,3.0,1,2.4343515581468513
loo,6,pcr,3.0,2,3.107946842587604
loo,6,pcr,5.0,0,2.3226773728890246
loo,6,pcr,5.0,1,1.9193820514042972
loo,6,pcr,5.0,2,3.1022053039852886
loo,7,ridge,0.1,0,2.8729406192157367
loo,7,ridge,0.1,1,2.8630045629154743
loo,7,ridge,0.1,2,3.0858336581113117
loo,7,ridge,1.0,0,2.8633190189027187
loo,7,ridge,1.0,1,2.864424429289349
loo,7,ridge,1.0,2,3.084292479633751
loo,7,ridge,10.0,0,2.7757021236870956
loo,7,ridge,10.0,1,2.8770053151603996
loo,7,ridge,10.0,2,3.070391496255185
loo,7,ridge,100.0,0,2.5098803842833717
loo,7,ridge,100.0,1,2.922908851455387
loo,7,ridge,100.0,2,2.992255310380816
loo,7,ridge,1000.0,0,2.9947603489993178
loo,7,ridge,1000.0,1,2.860344164371703
loo,7,ridge,1000.0,2,2.723360272619709
loo,7,ridge,10000.0,0,2.7632221027405266
loo,7,ridge,10000.0,1,2.6539343106492006
loo,7,ridge,10000.0,2,2.399713544300859
loo,7,pcr,1.0,0,3.475027713916781
loo,7,pcr,1.0,1,3.246593469996377
loo,7,pcr,1.0,2,3.1816442616748026
loo,7,pcr,2.0,0,3.3512193630093194
loo,7,pcr,2.0,1,2.9825635279427494
loo,7,pcr,2.0,2,1.9595590709524273
loo,7,pcr,3.0,0,3.36303919928339
loo,7,pcr,3.0,1,2.9061636308310845
loo,7,pcr,3.0,2,3.067243521501224
loo,7,pcr,5.0,0,3.4340159313834904
loo,7,pcr,5.0,1,2.7320959196915435
loo,7,pcr,5.0,2,2.9223493450970977
loo,8,ridge,0.1,0,3.0668862760082933
loo,8,ridge,0.1,1,2.846118295542922
loo,8,ridge,0.1,2,1.4723275001968599
loo,8,ridge,1.0,0,3.063028590423386
loo,8,ridge,1.0,1,2.846024733091252
loo,8,ridge,1.0,2,1.470523917452013
loo,8,ridge,10.0,0,3.0251468469992866
loo,8,ridge,10.0,1,2.8441939248368473
loo,8,ridge,10.0,2,1.4550942084577791
loo,8,ridge,100.0,0,2.7218112234657332
loo,8,ridge,100.0,1,2.7968330976234808
loo,8,ridge,100.0,2,1.4814289827411329
loo,8,ridge,1000.0,0,2.2809767306584208
loo,8,ridge,1000.0,1,2.474884767587995
loo,8,ridge,1000.0,2,1.5276256615352348
loo,8,ridge,10000.0,0,2.6996460695684985
loo,8,ridge,10000.0,1,1.940979177124501
loo,8,ridge,10000.0,2,1.6922316446898602
loo,8,pcr,1.0,0,3.2819936412564097
loo,8,pcr,1.0,1,2.063307083301863
loo,8,pcr,1.0,2,1.6284516268020084
loo,8,pcr,2.0,0,2.7480222503015552
loo,8,pcr,2.0,1,1.9137886492042735
loo,8,pcr,2.0,2,1.8047229785232848
loo,8,pcr,3.0,0,2.5327006458621173
loo,8,pcr,3.0,1,2.7282091455672375
loo,8,pcr,3.0,2,1.8059711885207534
loo,8,pcr,5.0,0,2.6730436293119397
loo,8,pcr,5.0,1,2.6492796049174756
loo,8,pcr,5.0,2,1.7725555964852429
loo,9,ridge,0.1,0,2.4686631249258393
loo,9,ridge,0.1,1,2.5515347216879953
loo,9,ridge,0.1,2,3.7665978595050795
loo,9,ridge,1.0,0,2.4644549624155254
loo,9,ridge,1.0,1,2.5419368402070766
loo,9,ridge,1.0,2,3.7670406196751554
loo,9,ridge,10.0,0,2.4240724597879257
loo,9,ridge,10.0,1,2.4518943556214245
loo,9,ridge,10.0,2,3.7711774814399432
loo,9,ridge,100.0,0,2.1559462427503497
loo,9,ridge,100.0,1,1.8939468472943695
loo,9,ridge,100.0,2,3.7930955725885074
loo,9,ridge,1000.0,0,1.498191395758054
loo,9,ridge,1000.0,1,1.458887660275197
loo,9,ridge,1000.0,2,3.8357454621741756
loo,9,ridge,10000.0,0,0.871828686959815
loo,9,ridge,10000.0,1,1.3322946497526829
loo,9,ridge,10000.0,2,4.075683013174217
loo,9,pcr,1.0,0,0.8509184641994584
loo,9,pcr,1.0,1,1.6483166496847854
loo,9,pcr,1.0,2,4.207735005948891
loo,9,pcr,2.0,0,1.2206413419139521
loo,9,pcr,2.0,1,1.91426435581788
loo,9,pcr,2.0,2,3.833864401599236
loo,9,pcr,3.0,0,1.1584116676143934
loo,9,pcr,3.0,1,1.9430115197140634
loo,9,pcr,3.0,2,3.475656606870828
loo,9,pcr,5.0,0,1.9076428734248705
loo,9,pcr,5.0,1,1.906519151649518
loo,9,pcr,5.0,2,3.7004955408944418
loo,10,ridge,0.1,0,3.19070456418142
loo,10,ridge,0.1,1,3.021206098943294
loo,10,ridge,0.1,2,1.823371895519904
loo,10,ridge,1.0,0,3.1828947947650965
loo,10,ridge,1.0,1,3.0143327504753237
loo,10,ridge,1.0,2,1.8185540261849542
loo,10,ridge,10.0,0,3.144588529415668
loo,10,ridge,10.0,1,2.95575103624844
loo,10,ridge,10.0,2,1.773761421959475
loo,10,ridge,100.0,0,3.1000879041592997
loo,10,ridge,100.0,1,2.7256400708900723
loo,10,ridge,100.0,2,1.539352790346598
loo,10,ridge,1000.0,0,3.1678239891309334
loo,10,ridge,1000.0,1,2.3329399341318005
loo,10,ridge,1000.0,2,1.062515753913683
loo,10,ridge,10000.0,0,3.4153884818250733
loo,10,ridge,10000.0,1,1.2992239621863781
loo,10,ridge,10000.0,2,1.682436334388927
loo,10,pcr,1.0,0,3.4895785662570953
loo,10,pcr,1.0,1,1.2207070177436836
loo,10,pcr,1.0,2,2.5366136537704773
loo,10,pcr,2.0,0,3.484327047938471
loo,10,pcr,2.0,1,3.01195876070223
loo,10,pcr,2.0,2,1.1342546543927956
loo,10,pcr,3.0,0,2.86424501797044
loo,10,pcr,3.0,1,2.9736236224409542
loo,10,pcr,3.0,2,1.248486618658692
loo,10,pcr,5.0,0,3.3250693807741465
loo,10,pcr,5.0,1,2.6362033325404006
loo,10,pcr,5.0,2,1.5634940154612131
loo,11,ridge,0.1,0,2.9198878640164976
loo,11,ridge,0.1,1,3.4983698116576076
loo,11,ridge,0.1,2,2.209622134932116
loo,11,ridge,1.0,0,2.9091678507338967
loo,11,ridge,1.0,1,3.4971263112702022
loo,11,ridge,1.0,2,2.2097521093188477
loo,11,ridge,10.0,0,2.8095787920678985
loo,11,ridge,10.0,1,3.4842925649423453
loo,11,ridge,10.0,2,2.209717095526997
loo,11,ridge,100.0,0,2.220411137749356
loo,11,ridge,100.0,1,3.3633361502771497
loo,11,ridge,100.0,2,2.1605151915558545
loo,11,ridge,1000.0,0,1.6832270958284568
loo,11,ridge,1000.0,1,3.065260965973908
loo,11,ridge,1000.0,2,1.9267624328844306
loo,11,ridge,10000.0,0,2.4127975366093564
loo,11,ridge,10000.0,1,3.229515899263792
loo,11,ridge,10000.0,2,1.7037144010176732
loo,11,pcr,1.0,0,2.955600160792276
loo,11,pcr,1.0,1,3.4186304286858924
loo,11,pcr,1.0,2,1.964954964059394
loo,11,pcr,2.0,0,1.9325650197992914
loo,11,pcr,2.0,1,3.1878253959227245
