scheme,model,outer_fold,n_test_samples,mae,rmse,r2
loo,pcr,10,1,3.09997930236403,3.09997930236403,
loo,pcr,11,1,1.8662848136944774,1.8662848136944774,
loo,pcr,12,1,1.1695162920438413,1.1695162920438413,
loo,pcr,13,1,0.8991211976712918,0.8991211976712918,
loo,pcr,14,1,4.357796555887504,4.357796555887504,
loo,pcr,15,1,2.2402768263222725,2.2402768263222725,
loo,pcr,16,1,5.748773778047585,5.748773778047585,
loo,pcr,17,1,2.078942892111968,2.078942892111968,
loo,pcr,18,1,3.75645988710232,3.75645988710232,
loo,pcr,19,1,1.848884021187974,1.848884021187974,
loo,ridge,0,1,3.5669943789868555,3.5669943789868555,
loo,ridge,1,1,1.1392593952822416,1.1392593952822416,
loo,ridge,2,1,6.232582104463255,6.232582104463255,
loo,ridge,3,1,0.4039871652434215,0.4039871652434215,
loo,ridge,4,1,3.7635691317305486,3.7635691317305486,
loo,ridge,5,1,2.8497257332777615,2.8497257332777615,
loo,ridge,6,1,0.29837890042424675,0.29837890042424675,
loo,ridge,7,1,1.4190515111047368,1.4190515111047368,
loo,ridge,8,1,0.02037527840739628,0.02037527840739628,
loo,ridge,9,1,5.782984881095988,5.782984881095988,
loo,ridge,10,1,3.347706895165338,3.347706895165338,
loo,ridge,11,1,1.2607900409481978,1.2607900409481978,
loo,ridge,12,1,0.5644461186508707,0.5644461186508707,
loo,ridge,13,1,0.029357479192142932,0.029357479192142932,
loo,ridge,14,1,4.577745056346441,4.577745056346441,
loo,ridge,15,1,0.6981925290425544,0.6981925290425544,
loo,ridge,16,1,5.069449481614459,5.069449481614459,
loo,ridge,17,1,0.5772195285268538,0.5772195285268538,
