scheme,outer_fold,component,feature,loading,component_regression_coef
five_fold,0,1,OES_bin_245,-0.011470344599941505,0.024160632855260808
five_fold,0,1,OES_bin_246,-0.011030615246304498,0.024160632855260808
five_fold,0,1,OES_bin_247,-0.01109313243006054,0.024160632855260808
five_fold,0,1,OES_bin_248,-0.010993441989130803,0.024160632855260808
five_fold,0,1,OES_bin_249,-0.011321244556665321,0.024160632855260808
five_fold,0,1,OES_bin_250,-0.010620176064965594,0.024160632855260808
five_fold,0,1,OES_bin_251,-0.010987861282420538,0.024160632855260808
five_fold,0,1,OES_bin_252,-0.011057793868445567,0.024160632855260808
five_fold,0,1,OES_bin_253,-0.010414603117370531,0.024160632855260808
five_fold,0,1,OES_bin_254,-0.010915570472185507,0.024160632855260808
five_fold,0,1,OES_bin_255,-0.011314020439395285,0.024160632855260808
five_fold,0,1,V_t_0,-0.006547271648925292,0.024160632855260808
five_fold,0,1,V_t_1,-0.017720024103883444,0.024160632855260808
five_fold,0,1,V_t_2,-0.01876452333579805,0.024160632855260808
five_fold,0,1,V_t_3,-0.018571176090517248,0.024160632855260808
five_fold,0,1,V_t_4,-0.018627644635898683,0.024160632855260808
five_fold,0,1,V_t_5,-0.01848156495281743,0.024160632855260808
five_fold,0,1,V_t_6,-0.018412327489804134,0.024160632855260808
five_fold,0,1,V_t_7,-0.018383098920385768,0.024160632855260808
five_fold,0,1,V_t_8,-0.01857354161084932,0.024160632855260808
five_fold,0,1,V_t_9,-0.018618239008575618,0.024160632855260808
five_fold,0,1,V_t_10,-0.01863857777032193,0.024160632855260808
five_fold,0,1,V_t_11,-0.018574719044954755,0.024160632855260808
five_fold,0,1,V_t_12,-0.018320887490509388,0.024160632855260808
five_fold,0,1,V_t_13,-0.018634790996884115,0.024160632855260808
five_fold,0,1,V_t_14,-0.018525731166591067,0.024160632855260808
five_fold,0,1,V_t_15,-0.01859011793384358,0.024160632855260808
five_fold,0,1,V_t_16,-0.018465854177024562,0.024160632855260808
five_fold,0,1,V_t_17,-0.01854654610938975,0.024160632855260808
five_fold,0,1,V_t_18,-0.018566755499269012,0.024160632855260808
five_fold,0,1,V_t_19,-0.018286172301773485,0.024160632855260808
five_fold,0,1,V_t_20,-0.0184162953075207,0.024160632855260808
five_fold,0,1,V_t_21,-0.01856230166799826,0.024160632855260808
five_fold,0,1,V_t_22,-0.0186187577953239,0.024160632855260808
five_fold,0,1,V_t_23,-0.01891051822421303,0.024160632855260808
five_fold,0,1,V_t_24,-0.01875954762773361,0.024160632855260808
five_fold,0,1,V_t_25,-0.01961778789523498,0.024160632855260808
five_fold,0,1,V_t_26,0.01672654653241935,0.024160632855260808
five_fold,0,1,V_t_27,0.018266336450672164,0.024160632855260808
five_fold,0,1,V_t_28,0.018836541406455427,0.024160632855260808
five_fold,0,1,V_t_29,0.01878164158571484,0.024160632855260808
five_fold,0,1,V_t_30,0.018593940855704868,0.024160632855260808
five_fold,0,1,V_t_31,0.0186431390269291,0.024160632855260808
five_fold,0,1,V_t_32,0.018435469574734825,0.024160632855260808
five_fold,0,1,V_t_33,0.018374997970977556,0.024160632855260808
five_fold,0,1,V_t_34,0.018476395274395447,0.024160632855260808
five_fold,0,1,V_t_35,0.018648308157127317,0.024160632855260808
five_fold,0,1,V_t_36,0.018383683318909744,0.024160632855260808
five_fold,0,1,V_t_37,0.018563110648075552,0.024160632855260808
five_fold,0,1,V_t_38,0.018297290120975612,0.024160632855260808
five_fold,0,1,V_t_39,0.01847125633262227,0.024160632855260808
five_fold,0,1,V_t_40,0.01847814287418929,0.024160632855260808
five_fold,0,1,V_t_41,0.018445840731749947,0.024160632855260808
five_fold,0,1,V_t_42,0.018504670350742346,0.024160632855260808
five_fold,0,1,V_t_43,0.018594950901855194,0.024160632855260808
five_fold,0,1,V_t_44,0.018593208698821022,0.024160632855260808
five_fold,0,1,V_t_45,0.018490757537870085,0.024160632855260808
five_fold,0,1,V_t_46,0.01841539438743198,0.024160632855260808
five_fold,0,1,V_t_47,0.018674898630447946,0.024160632855260808
five_fold,0,1,V_t_48,0.019178991385514682,0.024160632855260808
five_fold,0,1,V_t_49,0.018399379212914013,0.024160632855260808
five_fold,0,1,V_t_50,0.017781743970394358,0.024160632855260808
five_fold,0,1,V_t_51,0.005235338653037262,0.024160632855260808
five_fold,0,1,V_t_52,-0.018223748734781796,0.024160632855260808
