scheme,outer_fold,feature,coefficient
five_fold,0,OES_bin_192,-0.005029295120101273
five_fold,0,OES_bin_193,-0.0037996299091399306
five_fold,0,OES_bin_194,-0.0025160322466532365
five_fold,0,OES_bin_195,-0.0022258932457164273
five_fold,0,OES_bin_196,-0.0025979426164051533
five_fold,0,OES_bin_197,-0.003267576967390162
five_fold,0,OES_bin_198,-0.0030073841598956836
five_fold,0,OES_bin_199,-0.01031296120582496
five_fold,0,OES_bin_200,-0.0097060868933573
five_fold,0,OES_bin_201,-0.002077556446273536
five_fold,0,OES_bin_202,-0.0009640025018491892
five_fold,0,OES_bin_203,-0.0036246261181740857
five_fold,0,OES_bin_204,-0.005997021623831818
five_fold,0,OES_bin_205,-0.005520768083031175
five_fold,0,OES_bin_206,-0.0012810850078468503
five_fold,0,OES_bin_207,-0.006022138363824917
five_fold,0,OES_bin_208,-0.007124225908640127
five_fold,0,OES_bin_209,-0.006829749524739279
five_fold,0,OES_bin_210,-0.005338536310310901
five_fold,0,OES_bin_211,-0.007774653287230945
five_fold,0,OES_bin_212,-0.0005571269187379981
five_fold,0,OES_bin_213,0.0018376593251118005
five_fold,0,OES_bin_214,-0.0048753952324678464
five_fold,0,OES_bin_215,-1.496301486645377e-05
five_fold,0,OES_bin_216,-0.0011321016087505783
five_fold,0,OES_bin_217,0.00014127520490787816
five_fold,0,OES_bin_218,-0.005453915773173401
five_fold,0,OES_bin_219,-0.0046708290254026345
five_fold,0,OES_bin_220,-0.001757990175681002
five_fold,0,OES_bin_221,-0.0052290692131268975
five_fold,0,OES_bin_222,-0.0010680679795626981
five_fold,0,OES_bin_223,-0.0017995887931822221
five_fold,0,OES_bin_224,-0.001970424452661787
five_fold,0,OES_bin_225,-0.008469948632429666
five_fold,0,OES_bin_226,-0.002853340851135647
five_fold,0,OES_bin_227,-0.0016288105619573867
five_fold,0,OES_bin_228,-0.004220047343889878
five_fold,0,OES_bin_229,-0.005478170906411827
five_fold,0,OES_bin_230,-0.0069013793683202155
five_fold,0,OES_bin_231,-0.0009683149523963535
five_fold,0,OES_bin_232,-5.3468497722430636e-05
five_fold,0,OES_bin_233,0.004025513411982825
five_fold,0,OES_bin_234,-0.004457695090984875
five_fold,0,OES_bin_235,-0.0017232061394940991
five_fold,0,OES_bin_236,-0.0007295931298360195
five_fold,0,OES_bin_237,-0.0007228350956585666
five_fold,0,OES_bin_238,-0.0021527180400013326
five_fold,0,OES_bin_239,-0.0054895686807367354
five_fold,0,OES_bin_240,-0.003417573485719202
five_fold,0,OES_bin_241,-0.0014825677508237696
five_fold,0,OES_bin_242,-0.004935352136494595
five_fold,0,OES_bin_243,-0.0065635003902132965
five_fold,0,OES_bin_244,-0.004019085923387375
five_fold,0,OES_bin_245,-0.002930144057391906
five_fold,0,OES_bin_246,-0.005482561416879614
five_fold,0,OES_bin_247,-0.0004904262012858466
five_fold,0,OES_bin_248,-0.004024567578062245
five_fold,0,OES_bin_249,-0.005049002500618102
five_fold,0,OES_bin_250,-0.00358236038869293
five_fold,0,OES_bin_251,-0.002275941173825734
five_fold,0,OES_bin_252,-0.005625454257683866
five_fold,0,OES_bin_253,-0.0014371453924622523
five_fold,0,OES_bin_254,-0.006191728542352462
five_fold,0,OES_bin_255,-0.0013434072305186734
five_fold,0,V_t_0,0.013286914819764462
five_fold,0,V_t_1,0.006071061185421462
five_fold,0,V_t_2,0.001752275916933646
five_fold,0,V_t_3,0.003207831953857527
five_fold,0,V_t_4,0.0022605907911140834
five_fold,0,V_t_5,0.001129280554711808
five_fold,0,V_t_6,0.0026082083549434126
five_fold,0,V_t_7,0.0020704501671047317
five_fold,0,V_t_8,0.0017450351973696398
five_fold,0,V_t_9,0.0030871460822054038
five_fold,0,V_t_10,0.002850246018484836
five_fold,0,V_t_11,0.001586557576955737
five_fold,0,V_t_12,0.0022762325790122283
five_fold,0,V_t_13,0.002821509512289685
five_fold,0,V_t_14,0.003216365024371375
five_fold,0,V_t_15,0.0017405013746008742
five_fold,0,V_t_16,0.003400702755180457
five_fold,0,V_t_17,0.002495418740025493
five_fold,0,V_t_18,0.0018975220231324701
five_fold,0,V_t_19,0.0027984275973213174
five_fold,0,V_t_20,0.003786522837282566
five_fold,0,V_t_21,0.002689129894657221
five_fold,0,V_t_22,0.0019715176265344726
five_fold,0,V_t_23,0.005392857616102453
five_fold,0,V_t_24,0.00027070369854328665
five_fold,0,V_t_25,0.007287031791870475
five_fold,0,V_t_26,-0.009686964642408957
five_fold,0,V_t_27,-0.005891771012796308
five_fold,0,V_t_28,-0.0004195232544484648
five_fold,0,V_t_29,-0.0005330198401146554
five_fold,0,V_t_30,-0.00458126751669064
five_fold,0,V_t_31,-0.0033029311374588783
five_fold,0,V_t_32,-0.0030683074948747472
five_fold,0,V_t_33,-0.0024914970627782696
five_fold,0,V_t_34,-0.002583521419151253
five_fold,0,V_t_35,-0.0027223537616094602
five_fold,0,V_t_36,-0.0017953452671537918
five_fold,0,V_t_37,-0.002183082069279329
five_fold,0,V_t_38,-0.0026711982922037157
five_fold,0,V_t_39,-0.002544417411540148
five_fold,0,V_t_40,-0.0035661163308526272
five_fold,0,V_t_41,-0.0028128200042792546
five_fold,0,V_t_42,-0.0032573511903853
five_fold,0,V_t_43,-0.004505999903604137
five_fold,0,V_t_44,-0.003411344052904057
five_fold,0,V_t_45,-0.0026645575664646553
five_fold,0,V_t_46,-0.002245335880655069
five_fold,0,V_t_47,-0.0029798259500800266
five_fold,0,V_t_48,-0.003099247703677492
five_fold,0,V_t_49,-0.0028361194343671237
five_fold,0,V_t_50,-0.0029343191035209504
five_fold,0,V_t_51,-0.001003056017679041
five_fold,0,V_t_52,0.006703560795984869
five_fold,0,V_t_53,0.003301409119510338
five_fold,0,V_t_54,0.002863934245755489
five_fold,0,V_t_55,-0.00023875525294765208
five_fold,0,V_t_56,0.003995184839972707
five_fold,0,V_t_57,0.0028887287846014664
five_fold,0,V_t_58,0.003169823249094905
five_fold,0,V_t_59,0.0027436220444168108
five_fold,0,V_t_60,0.002762868520662377
five_fold,0,V_t_61,0.00299682502509578
five_fold,0,V_t_62,0.0035861724352316787
five_fold,0,V_t_63,0.002486726246095559
five_fold,0,V_t_64,0.0023831971518882456
five_fold,0,V_t_65,0.002077976074808765
five_fold,0,V_t_66,0.002964669955077385
five_fold,0,V_t_67,0.0027483736580246484
five_fold,0,V_t_68,0.002339676442709975
five_fold,0,V_t_69,0.0017990173490236578
five_fold,0,V_t_70,0.002178728047383047
five_fold,0,V_t_71,0.003563619646396441
five_fold,0,V_t_72,0.004255301089785009
five_fold,0,V_t_73,0.004466948304093109
five_fold,0,V_t_74,0.004514500927766395
five_fold,0,V_t_75,0.00031337398375102566
five_fold,0,V_t_76,0.011057264457979587
five_fold,0,V_t_77,-0.02908990873140545
five_fold,0,V_t_78,-0.007411147399221197
five_fold,0,V_t_79,-0.003083957378832025
five_fold,0,V_t_80,-0.003852388629871105
five_fold,0,V_t_81,-0.0012578904723778814
five_fold,0,V_t_82,-0.0018362264516645513
five_fold,0,V_t_83,-0.00284383661029109
five_fold,0,V_t_84,-0.002644921610727894
five_fold,0,V_t_85,-0.0028616855237919942
five_fold,0,V_t_86,-0.0025161890143824096
five_fold,0,V_t_87,-0.00328389848267567
five_fold,0,V_t_88,-0.002299439829537008
five_fold,0,V_t_89,-0.002265443880812794
five_fold,0,V_t_90,-0.002776306683347869
five_fold,0,V_t_91,-0.002666302272152436
five_fold,0,V_t_92,-0.002637370137847094
five_fold,0,V_t_93,-0.002761083207684439
five_fold,0,V_t_94,-0.002297613970894874
five_fold,0,V_t_95,-0.0026086462270346533
five_fold,0,V_t_96,-0.002949401133132871
five_fold,0,V_t_97,-0.0016058776174848993
five_fold,0,V_t_98,-0.0022529742971322307
five_fold,0,V_t_99,-0.0029427843228550343
five_fold,0,V_t_100,-0.00020199887389673633
five_fold,0,V_t_101,-0.004295164687650912
five_fold,0,V_t_102,-0.006296679915483834
five_fold,0,V_t_103,0.0024027381530244796
five_fold,0,V_t_104,-0.0020014842081045544
